Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Duration,Flow IAT Mean,Pkt Len Mean,Pkt Len Std,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,FIN Flag Cnt,Down/Up Ratio,Active Mean,Idle Mean
10/09/2026 09:00:19,46,8,10902,1776,388.29,804.34,631.57,52.69,1,7,0,0,1.32,136.61,372.38
10/09/2026 09:00:28,3,18,873,2628,148.5,425.25,184.0,36.83,1,13,0,0,5.39,87.43,416.34
10/09/2026 09:00:38,14,31,3108,2015,332.99,725.26,334.48,75.64,1,4,1,1,1.68,1.47,393.46
10/09/2026 09:01:08,9,39,1908,6318,312.4,415.73,472.24,39.25,2,4,0,0,3.82,113.05,382.5
10/09/2026 09:01:51,40,28,8200,5208,223.9,277.04,63.42,112.0,2,19,0,0,6.84,46.79,29.15
10/09/2026 09:02:11,25,42,2825,11676,264.94,503.54,635.76,167.76,1,8,0,0,1.42,4.54,45.02
10/09/2026 09:02:13,49,38,11123,8398,64.93,453.44,155.76,175.6,1,9,0,0,2.48,126.06,180.91
10/09/2026 09:02:15,23,47,1426,6063,384.78,818.18,571.78,70.14,0,15,1,0,5.76,89.87,136.12
10/09/2026 09:02:46,46,3,2990,468,182.58,186.12,272.53,146.91,3,10,0,0,6.09,143.89,216.05
10/09/2026 09:03:09,51,15,10353,1140,260.11,80.58,356.01,15.2,2,3,0,0,1.24,20.68,293.82
10/09/2026 09:03:13,20,39,1680,4563,232.63,315.45,489.1,10.59,3,3,1,0,6.28,16.55,243.33
10/09/2026 09:03:29,29,33,4843,5082,228.91,428.77,242.9,86.23,3,10,1,1,0.27,165.26,448.08
10/09/2026 09:03:48,26,27,1976,3186,43.88,606.65,253.74,166.56,2,14,1,1,0.95,183.2,115.11
10/09/2026 09:03:55,46,11,2254,836,148.68,747.66,654.27,82.7,2,4,1,1,4.17,51.19,468.02
10/09/2026 09:04:06,18,9,1476,1602,174.32,893.18,717.67,188.41,0,16,1,0,4.2,63.19,386.01
10/09/2026 09:04:08,53,16,11236,2336,38.24,673.38,239.47,234.52,1,18,0,0,6.67,30.66,89.63
10/09/2026 09:04:17,8,18,1560,4086,78.98,282.74,630.83,243.1,3,9,1,0,0.21,45.93,65.91
10/09/2026 09:04:38,9,0,1944,0,202.78,626.36,481.65,53.95,0,17,1,0,5.94,26.21,61.88
10/09/2026 09:04:52,43,28,12083,1708,120.73,442.28,543.78,239.13,1,10,0,1,0.3,111.04,316.99
10/09/2026 09:05:05,53,3,8639,582,58.9,743.07,275.85,40.25,3,18,1,0,2.35,30.72,57.75
10/09/2026 09:05:31,32,1,7168,54,70.27,52.78,489.27,171.78,3,7,1,0,4.09,175.0,425.57
10/09/2026 09:05:31,32,2,5376,174,95.08,228.2,474.14,106.98,1,0,0,0,4.24,20.33,416.73
10/09/2026 09:05:32,7,2,1015,560,40.1,760.0,726.02,244.99,1,16,1,1,5.18,155.8,67.28
10/09/2026 09:05:42,49,26,6076,4498,343.1,419.21,332.67,161.69,0,5,0,0,3.88,83.38,116.28
10/09/2026 09:06:09,20,18,3420,2430,131.33,344.62,561.16,77.73,3,18,1,1,3.9,65.67,267.72
10/09/2026 09:06:10,57,42,9519,8778,321.85,481.79,521.02,75.6,0,14,0,0,5.59,172.14,66.05
10/09/2026 09:06:14,57,30,11685,1920,290.42,80.62,751.31,38.66,3,19,0,1,4.79,156.52,397.56
10/09/2026 09:06:52,55,47,3465,4935,236.24,90.07,508.29,46.97,0,11,0,1,3.78,104.53,381.96
10/09/2026 09:07:03,55,39,9570,6513,240.04,838.46,131.0,33.69,2,1,0,1,3.41,154.86,335.62
10/09/2026 09:07:05,44,16,10164,4368,305.13,247.13,316.79,82.04,1,3,1,0,7.5,87.58,191.66
10/09/2026 09:07:07,8,36,680,6588,374.49,703.37,404.32,97.21,2,19,0,1,7.61,23.7,425.27
10/09/2026 09:07:16,52,31,3692,2201,235.51,619.06,49.35,116.31,2,16,0,0,3.72,88.46,150.96
10/09/2026 09:07:20,31,45,7161,10935,44.68,897.35,708.19,74.56,3,16,0,0,7.99,133.14,325.06
10/09/2026 09:07:39,37,4,7992,1092,12.09,220.54,148.7,195.31,3,3,0,1,5.28,7.23,2.71
10/09/2026 09:07:58,10,2,2530,394,320.69,218.5,685.55,19.02,2,16,1,1,6.2,139.62,418.99
10/09/2026 09:08:00,27,2,4266,184,50.41,456.56,606.34,159.35,0,17,0,0,5.9,38.61,135.38
10/09/2026 09:08:01,6,35,1050,10290,244.81,53.78,508.39,15.38,0,17,0,1,1.47,18.34,91.77
10/09/2026 09:08:15,23,49,4439,7791,313.74,574.59,475.03,40.56,0,18,1,0,4.67,139.96,324.62
10/09/2026 09:08:43,27,47,2187,3666,203.59,366.61,400.37,34.21,3,2,1,0,2.51,85.58,305.49
10/09/2026 09:08:55,24,31,7008,4557,163.81,199.78,487.11,82.68,3,0,0,0,3.85,45.12,286.23
10/09/2026 09:08:59,21,28,4053,6216,259.36,588.93,280.32,197.92,1,10,0,0,5.05,72.13,256.37
10/09/2026 09:09:01,48,36,8880,9720,368.46,455.75,435.41,200.97,0,6,1,1,4.0,23.17,36.03
10/09/2026 09:09:04,52,42,13156,2268,112.6,304.05,171.48,81.9,0,14,1,0,6.63,171.31,186.13
10/09/2026 09:09:08,42,7,4284,1372,48.31,331.6,768.41,248.89,1,15,0,0,5.53,141.08,193.92
